"species" "time" "speed"
"paca" 0.129907407 0.324999988
"agouti" 0.401157407 0.283333341
"peccary" 0.344097222 0.115454544
"agouti" 0.297581019 0.670000017
"armadillo" 0.898611111 0.699999988
"rat" 0.108368056 0.204999998
"agouti" 0.675706019 0.037272727
"agouti" 0.406273148 0.180000007
"peccary" 0.911493056 0.200000008
"agouti" 0.314247685 0.542500019
"opossum" 0.148842593 0.193333328
"agouti" 0.360081019 0.375
"agouti" 0.359212963 0.070909088
"agouti" 0.740578704 0.227500007
"agouti" 0.265821759 0.146666666
"agouti" 0.705752315 0.182500005
"paca" 0.95744213 0.24000001
"paca" 0.180381944 0.449999988
"paca" 0.826458333 0.660000026
"agouti" 0.725046296 0.156666666
"agouti" 0.403553241 0.078749999
"squirrel" 0.443368056 0.174999997
"armadillo" 0.215451389 0.419999987
"paca" 0.902800926 0.299999992
"agouti" 0.326574074 0.126666665
"armadillo" 0.011747685 0.400000006
"agouti" 0.253958333 0.057142858
"squirrel" 0.379733796 0.059999998
"squirrel" 0.283414352 0.069999998
"mouse" 0.87587963 0.324999988
"paca" 0.017824074 0.216666659
"squirrel" 0.341990741 0.061666667
"squirrel" 0.449803241 0.237499997
"agouti" 0.384733796 0.110000003
"opossum" 0.126770833 0.833333333
"agouti" 0.371747685 0.254999995
"agouti" 0.448958333 0.149090908
"agouti" 0.27224537 0.287499994
"paca" 0.830092593 0.213333329
"coati" 0.486597222 0.182857139
"rat" 0.827222222 0.239999995
"agouti" 0.308032407 0.105714287
"brocket" 0.36375 0.063333333
"agouti" 0.6190625 0.068333333
"agouti" 0.273055556 0.283333341
"armadillo" 0.965358796 0.162499994
"agouti" 0.279085648 0.063749999
"paca" 0.165625 0.360000014
"ocelot" 0.350775463 0.5
"agouti" 0.425729167 0.833333333
"coati" 0.351608796 0.223333339
"agouti" 0.696597222 0.151999998
"agouti" 0.435023148 0.383333325
"mouse" 0.043159722 0.362500012
"tamandua" 0.606064815 0.193333328
"rat" 0.184479167 0.25
"squirrel" 0.367546296 0.333333333
"squirrel" 0.414456019 0.062727273
"agouti" 0.559039352 0.212500006
"mouse" 0.101134259 0.04142857
"ocelot" 0.166377315 0.118888895
"opossum" 0.1978125 0.550000012
"agouti" 0.40380787 1.033333302
"agouti" 0.759803241 0.224999994
"agouti" 0.404537037 0.282499999
"agouti" 0.271064815 0.23666666
"agouti" 0.466527778 0.349999994
"agouti" 0.267071759 0.483749986
"agouti" 0.670601852 0.197500005
"agouti" 0.542997685 0.266666671
"brocket" 0.628009259 0.123076925
"peccary" 0.257418981 0.278888888
"armadillo" 0.829513889 0.963333368
"rat" 0.023796296 0.324999988
"agouti" 0.416099537 0.076363634
"agouti" 0.258726852 0.068750001
"peccary" 0.736319444 0.370000005
"agouti" 0.704166667 0.239999995
"paca" 0.859456019 0.133333335
"rat" 0.17525463 0.200000008
"agouti" 0.727013889 0.179999995
"tamandua" 0.207743056 0.299999992
"agouti" 0.668541667 0.2
"agouti" 0.486516204 0.2
"agouti" 0.360543981 0.25
"rat" 0.233321759 0.275000006
"agouti" 0.429861111 0.220000005
"coati" 0.584050926 0.24000001
"tamandua" 0.647662037 0.24000001
"agouti" 0.740509259 0.324999988
"rat" 0.213668981 0.433333317
"agouti" 0.733541667 0.3
"coati" 0.671921296 0.320000005
